[2024-07-18 14:46:44] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fsmartsoft%2Fmine-island, Status Code: 404
[2024-07-18 14:50:05] Exception while fetching file: cURL error 28: Proxy CONNECT aborted due to timeout (see https://curl.haxx.se/libcurl/c/libcurl-errors.html) for https://consultasrs.com/en%2Fcasino%2Fpragmaticplay%2Fpower-of-thor-megaways
[2024-07-18 14:51:28] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fcategory%2Fcassino-ao-vivo%2Fpopular, Status Code: 404
[2024-07-18 14:59:18] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fproviders%2Fbooming, Status Code: 404
[2024-07-18 15:00:57] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fcategory%2Fslots%2Fpopular, Status Code: 404
[2024-07-18 15:08:38] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fproviders%2Fevolution, Status Code: 404
[2024-07-18 15:08:54] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fcategory%2Fjogos-novos, Status Code: 404
[2024-07-18 15:19:08] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fsmartsoft%2Fbonusroulette, Status Code: 404
[2024-07-18 15:28:35] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fevolution%2Fturkish-lightning-roulette, Status Code: 404
[2024-07-18 15:44:50] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fpgsoft%2Ffortune-tiger, Status Code: 404
[2024-07-18 16:27:36] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fpragmaticplay%2Fbig-bass-bonanza-megaways, Status Code: 404
[2024-07-18 16:35:06] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fpragmaticplay%2Fchilli-heat-megaways, Status Code: 404
[2024-07-18 16:42:37] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fspribe%2Fplinko, Status Code: 404
[2024-07-18 16:50:07] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fpragmaticplay%2Fgreat-rhino-megaways, Status Code: 404
[2024-07-18 16:56:27] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fresponsible-gaming, Status Code: 404
[2024-07-18 16:59:11] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fevolution%2Fdream-catcher, Status Code: 404
[2024-07-18 17:15:17] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fevolution%2Fauto-roulette-vip, Status Code: 404
[2024-07-18 17:31:12] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fevolution%2Finfinite-blackjack, Status Code: 404
[2024-07-18 17:43:26] Failed to fetch file from remote server. URL: https://www.resgate-pendencias-hoje.online/index.html, Status Code: 404
[2024-07-18 17:43:27] Failed to fetch file from remote server. URL: https://www.resgate-pendencias-hoje.online/favicon.ico, Status Code: 404
[2024-07-18 17:43:29] Failed to fetch file from remote server. URL: https://www.resgate-pendencias-hoje.online/sw.js, Status Code: 404
[2024-07-18 17:43:29] Failed to fetch file from remote server. URL: https://www.resgate-pendencias-hoje.online/index.html, Status Code: 404
[2024-07-18 17:43:32] Failed to fetch file from remote server. URL: https://www.resgate-pendencias-hoje.online/sw.js, Status Code: 404
[2024-07-18 17:43:39] Failed to fetch file from remote server. URL: https://www.resgate-pendencias-hoje.online/sw.js, Status Code: 404
[2024-07-18 17:44:07] Failed to fetch file from remote server. URL: https://www.resgate-pendencias-hoje.online/sw.js, Status Code: 404
[2024-07-18 17:44:11] Failed to fetch file from remote server. URL: https://www.resgate-pendencias-hoje.online/casino%2Fcategory%2Fslots%2Fpopular, Status Code: 404
[2024-07-18 17:44:52] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:44:52] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:44:52] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:44:52] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:44:52] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:44:53] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:44:53] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:44:53] Failed to fetch file from remote server. URL: https://www.resgate-pendencias-hoje.online/cpf%2Fjs%2Fplayer_1.js, Status Code: 404
[2024-07-18 17:44:54] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:44:54] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:44:54] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:44:54] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:44:54] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:44:55] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:44:55] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:44:55] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:44:55] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:44:56] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:44:57] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:44:57] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:44:58] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:45:00] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:45:01] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:45:03] Failed to fetch file from remote server. URL: https://www.resgate-pendencias-hoje.online/sw.js, Status Code: 404
[2024-07-18 17:45:17] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:45:17] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:45:17] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:45:17] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:45:18] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:45:18] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:45:18] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:45:18] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:45:18] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:45:19] Failed to fetch file from remote server. URL: https://www.resgate-pendencias-hoje.online/cpf%2Fjs%2Fplayer_1.js, Status Code: 404
[2024-07-18 17:45:19] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:45:19] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:45:19] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:45:19] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:45:19] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:45:19] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:45:19] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:45:20] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:45:20] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:45:20] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:45:21] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:45:22] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:45:23] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:45:28] Failed to fetch file from remote server. URL: https://www.resgate-pendencias-hoje.online/sw.js, Status Code: 404
[2024-07-18 17:45:29] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:45:29] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:45:30] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:45:30] Exception while fetching file: mkdir(): Not a directory
[2024-07-18 17:45:30] Exception while fetching file: mkdir(): Not a directory
